Average Diameter,Time
3.602829,0.019511
3.593788,0.0406102
3.590586,0.0595717
3.589142,0.0797639
3.587671,0.1024662
3.585996,0.1217985
3.579729,0.1413068
3.568726,0.1598779
3.560145,0.178985
3.553067,0.1985194
3.545821,0.2181054
3.539536,0.236095
3.532493,0.255184
3.526476,0.2743088
3.52204,0.2943426
3.516659,0.3155238
3.513256,0.3342617
3.510448,0.353919
3.508193,0.3743402
3.506276,0.3963112
3.50402,0.4180296
3.501986,0.4408367
3.499046,0.4630931
3.496051,0.4859958
3.4913,0.5069726
3.486188,0.5312005
3.481197,0.5516176
3.475271,0.5740867
3.469705,0.5961429
3.464346,0.6177967
3.459136,0.6402284
3.454072,0.6629605
3.448781,0.6850123
3.44357,0.706825
3.438203,0.7297646
3.432933,0.7531406
3.427959,0.7732025
3.423262,0.7959386
3.418977,0.8180385
3.414624,0.8401006
3.408092,0.8620915
3.404631,0.8850285
3.402603,0.9036185
3.402603,0.9233118
3.402603,0.9417399
3.402603,0.9616416
3.402603,0.9796923
3.402603,0.999265
3.402603,1.018404
3.396645,1.036978
3.386737,1.055972
3.379224,1.07495
3.37844,1.09401
3.378458,1.1121
3.378954,1.130862
3.380051,1.150159
3.380769,1.170654
3.380616,1.189398
3.380102,1.208505
3.379618,1.227312
3.378865,1.24526
3.378129,1.263244
3.377425,1.28126
3.376615,1.299056
3.375836,1.317998
3.375203,1.336096
3.37461,1.354684
3.374404,1.375457
3.374902,1.394235
3.375393,1.412149
3.375879,1.430723
3.376466,1.449588
3.377044,1.467901
3.377611,1.485945
3.378024,1.504381
3.37824,1.522536
3.378694,1.540237
3.37919,1.558223
3.379617,1.579214
3.380022,1.597309
3.380247,1.615882
3.380332,1.634811
3.380556,1.653929
3.380784,1.672499
3.381147,1.691545
3.381509,1.710447
3.381868,1.729689
3.38266,1.748913
3.383254,1.767782
3.384003,1.788692
3.384752,1.807588
3.385659,1.826151
3.386572,1.844792
3.387583,1.86388
3.388827,1.881676
3.390305,1.899898
3.391878,1.917905
3.393691,1.935717
3.395489,1.954746
3.397308,1.973898
3.399188,1.993973
3.401028,2.013126
3.402999,2.031117
3.404932,2.0502
3.40691,2.069046
3.408854,2.086887
3.410692,2.105606
3.412157,2.12427
3.413435,2.144495
3.413968,2.162768
3.413801,2.180755
3.413481,2.201658
3.412923,2.219821
3.412229,2.238133
3.411127,2.258087
3.41005,2.276628
3.408989,2.295578
3.407828,2.314807
3.406813,2.334365
3.405819,2.353611
3.404942,2.372635
3.404022,2.39019
3.40309,2.409966
3.402173,2.429129
3.401139,2.448835
3.400111,2.467716
3.399102,2.487187
3.398211,2.506019
3.397232,2.525175
3.396368,2.544193
3.39568,2.563476
3.394999,2.584415
3.394373,2.604005
3.39425,2.625046
3.394197,2.644078
3.394405,2.663645
3.394604,2.683119
3.394796,2.702581
3.395029,2.721311
3.395256,2.740019
3.395364,2.760034
3.395569,2.778926
3.395764,2.797837
3.395948,2.816868
3.396035,2.837382
3.396058,2.856522
3.396143,2.875381
3.396045,2.894891
3.395913,2.914225
3.395829,2.93342
3.395868,2.952262
3.396016,2.971158
3.396178,2.99023
3.396444,3.009173
3.396802,3.028512
3.397245,3.048771
3.397693,3.068119
3.398254,3.086589
3.4,3.106197
3.403111,3.124072
3.404864,3.143754
3.406078,3.163218
3.40696,3.181489
3.407555,3.200063
3.408169,3.219458
3.408658,3.236833
3.409299,3.257921
3.409858,3.276823
3.410506,3.295232
3.411162,3.313205
3.412053,3.332095
3.413172,3.35104
3.414443,3.369876
3.416042,3.389105
3.41767,3.408936
3.419414,3.426841
3.421211,3.445724
3.423171,3.465804
3.425155,3.484374
3.427171,3.504142
3.429293,3.522197
3.431387,3.540121
3.43348,3.558044
3.435681,3.576962
3.437927,3.595831
3.440145,3.614407
3.442269,3.63336
3.444372,3.652326
3.446445,3.67372
3.449512,3.693047
3.453233,3.711894
3.457663,3.731037
3.462267,3.750307
3.466644,3.769881
3.471155,3.788749
3.475804,3.807916
3.48041,3.826734
3.485033,3.845835
3.489808,3.865592
3.49456,3.886195
3.499315,3.904642
3.504059,3.922915
3.509108,3.941675
3.514369,3.961391
3.519543,3.979114
3.52468,3.998203
3.529615,4.017213
3.534372,4.035543
3.53911,4.0551
3.543809,4.073979
3.548483,4.094083
3.553143,4.112882
3.558125,4.13133
3.563229,4.150844
3.56834,4.169808
3.57348,4.187734
3.578607,4.207122
3.583709,4.224831
3.589391,4.243638
3.594526,4.261468
3.600252,4.279304
3.604857,4.301269
3.608799,4.320243
3.612183,4.33814
3.616323,4.356187
3.621037,4.374226
3.625798,4.393187
3.629494,4.41208
3.632232,4.430002
3.636439,4.448961
3.64034,4.468094
3.644153,4.486876
3.647919,4.50774
3.65166,4.526774
3.655383,4.544772
3.659081,4.564514
3.662857,4.583466
3.666607,4.602695
3.670328,4.621063
3.673965,4.639042
3.677488,4.658318
3.6809,4.677662
3.684256,4.696009
3.687589,4.716834
3.690979,4.735812
3.694377,4.754749
3.697811,4.773829
3.701391,4.791722
3.705045,4.811305
3.70899,4.829866
3.712911,4.848732
3.716924,4.867884
3.721016,4.886522
3.725242,4.905395
3.729208,4.926867
3.733232,4.946476
3.73737,4.966256
3.741489,4.985103
3.745661,5.003111
3.74977,5.022098
3.7539,5.040885
3.758093,5.059136
3.762287,5.078122
3.766635,5.09724
3.770966,5.116104
3.775262,5.136695
3.779649,5.156621
3.783887,5.175129
3.788099,5.193961
3.792399,5.21355
3.796718,5.232797
3.80101,5.251943
3.80531,5.269759
3.809571,5.287853
3.813939,5.307301
3.818298,5.326086
3.822572,5.346073
3.826851,5.365326
3.831153,5.382942
3.837088,5.402386
3.841169,5.420695
3.845381,5.439687
3.850624,5.45863
3.854643,5.480574
3.858026,5.502873
3.858026,5.522539
3.858026,5.540257
3.863239,5.560035
3.868782,5.579305
3.871039,5.598255
3.875343,5.617086
3.880781,5.637217
3.885538,5.658038
3.889924,5.678373
3.894374,5.699231
3.899031,5.718914
3.903553,5.737772
3.908186,5.756782
3.912751,5.777296
3.917285,5.796756
3.921924,5.81557
3.926458,5.834512
3.931515,5.853248
3.936498,5.872316
3.941447,5.891234
3.946342,5.910248
3.951198,5.929183
3.955935,5.947983
3.960004,5.967051
3.96483,5.98678
3.96483,6.006032
3.96483,6.024788
3.968432,6.0431
3.973131,6.06169
3.977609,6.080729
3.982118,6.099146
3.985841,6.118773
3.98931,6.137465
3.992617,6.156544
3.995926,6.174777
3.999783,6.196218
4.003319,6.214842
4.007185,6.23362
4.011025,6.252143
4.014776,6.27062
4.018494,6.289874
4.022543,6.309115
4.025333,6.32812
4.028685,6.347131
4.032279,6.365241
4.035844,6.38388
4.039263,6.405591
4.042377,6.42347
4.04589,6.442397
4.049921,6.462102
4.053351,6.479943
4.05669,6.497924
4.060266,6.51696
4.063656,6.535782
4.067008,6.555033
4.069625,6.573719
4.072221,6.59197
4.074812,6.612628
4.077387,6.632157
4.079942,6.652019
4.082468,6.671204
4.084677,6.689864
4.086997,6.708368
4.089337,6.728392
4.091655,6.746945
4.09392,6.766051
4.096176,6.785025
4.098424,6.802834
4.100639,6.823647
4.102806,6.843818
4.104999,6.862778
4.107142,6.882188
4.109436,6.9009
4.111598,6.919989
4.113897,6.938873
4.116322,6.957761
4.118729,6.975545
4.121094,6.994502
4.123442,7.01332
4.125779,7.034271
4.128142,7.053473
4.130095,7.072481
4.133692,7.091343
4.136864,7.110452
4.139891,7.128256
4.142893,7.146322
4.146018,7.164242
4.149241,7.183144
4.15248,7.202267
4.155714,7.221107
4.158928,7.242265
4.162156,7.26188
4.165347,7.280978
4.168522,7.298917
4.171712,7.318709
4.174889,7.337642
4.178022,7.356091
4.181126,7.374916
4.184217,7.393986
4.187294,7.411999
4.190316,7.430768
4.193322,7.452846
4.196325,7.472637
4.199343,7.492264
4.202372,7.511156
4.205405,7.529069
4.208427,7.548171
4.211457,7.567164
4.214497,7.586009
4.217729,7.605842
4.220882,7.624697
4.224038,7.64286
4.227317,7.665021
4.230471,7.684476
4.233592,7.703505
4.236701,7.723826
4.239746,7.742683
4.242744,7.761295
4.24581,7.780692
4.248791,7.800006
4.25176,7.819047
4.254707,7.837751
4.257549,7.855474
4.260991,7.877529
4.264012,7.896155
4.266785,7.91572
4.268747,7.93456
4.270951,7.953485
4.27236,7.973042
4.275737,7.991045
4.278881,8.008912
4.281793,8.027924
4.284779,8.046894
4.286972,8.064855
4.289271,8.085971
4.29214,8.104743
4.295065,8.122535
4.298023,8.141713
4.301047,8.160781
4.304097,8.179979
4.307009,8.199549
4.310039,8.218598
4.313055,8.2364
4.315994,8.255912
4.318944,8.275156
4.321935,8.294683
4.324913,8.314139
4.327878,8.333761
4.330825,8.351439
4.333762,8.370484
4.336716,8.389415
4.339658,8.408238
4.342522,8.426319
4.345299,8.445168
4.348129,8.463249
4.350956,8.482187
4.35388,8.502834
4.356834,8.521926
4.359789,8.539878
4.362713,8.558903
4.365786,8.577785
4.367705,8.596839
4.370263,8.616181
4.373058,8.634527
4.375721,8.653171
4.378335,8.672058
4.380949,8.690797
4.383579,8.713659
4.386197,8.732965
4.388803,8.75224
4.391414,8.771715
4.393994,8.791357
4.39665,8.809641
4.399321,8.829158
4.402037,8.848486
4.404783,8.869139
4.407517,8.887125
4.410304,8.906103
4.413137,8.926425
4.415899,8.946404
4.418656,8.964138
4.421437,8.98388
4.424244,9.002895
4.42704,9.02094
4.429489,9.039789
4.431348,9.058111
4.431348,9.077937
4.431348,9.09563
4.431348,9.114461
4.431348,9.134849
4.431348,9.154018
4.431348,9.172722
4.431348,9.191566
4.431348,9.210573
4.431348,9.229547
4.431348,9.247942
4.431348,9.266397
4.431348,9.285211
4.431348,9.303167
4.431348,9.322198
4.433031,9.342408
4.435091,9.360259
4.436182,9.379261
4.43915,9.396975
4.4419,9.416312
4.444619,9.435634
4.447336,9.455263
4.449929,9.474392
4.452286,9.492339
4.454634,9.511458
4.456988,9.530182
4.459359,9.552077
4.461793,9.571027
4.464288,9.590013
4.46684,9.60902
4.469421,9.627876
4.472105,9.64685
4.474778,9.664838
4.477444,9.68384
4.480105,9.702655
4.482715,9.721787
4.485321,9.740646
4.487872,9.761676
4.490448,9.780279
4.493017,9.799287
4.4956,9.818882
4.49818,9.837811
4.500748,9.855999
4.503307,9.87502
4.505857,9.893994
4.508409,9.912447
4.511006,9.929976
4.513675,9.948951
4.516337,9.968759
4.51898,9.987907
4.520558,10.00572
4.520558,10.04379
4.52269,10.06281
4.524083,10.08164
4.525952,10.09986
4.52718,10.11877
4.528954,10.13649
4.529735,10.15451
4.531383,10.17506
4.532494,10.19485
4.534068,10.21382
4.535502,10.23298
4.537055,10.25284
4.538604,10.27066
4.540147,10.28972
4.541939,10.3076
4.543625,10.32707
4.545379,10.34647
4.546972,10.36465
4.548559,10.38511
4.550035,10.40314
4.551309,10.42208
4.553464,10.43992
4.55561,10.45775
4.557747,10.47695
4.559738,10.49504
4.561958,10.51445
4.563056,10.53323
4.564738,10.55222
4.566368,10.57107
4.567992,10.5917
4.569551,10.6107
4.571081,10.62956
4.572605,10.64871
4.574127,10.66794
4.575599,10.68688
4.577112,10.7058
4.578683,10.72533
4.580252,10.74429
4.582059,10.7623
4.584048,10.78132
4.586001,10.8012
4.587948,10.82003
4.589891,10.83893
4.591916,10.8582
4.593946,10.87694
4.595959,10.89581
4.597887,10.91478
4.599899,10.93261
4.601912,10.95169
4.603927,10.9708
4.60591,10.9899
4.608017,11.00978
4.610248,11.02892
4.612702,11.04801
4.615205,11.06674
4.617726,11.08562
4.620236,11.10363
4.622699,11.12169
4.625051,11.13963
4.627388,11.15869
4.629698,11.17878
4.631997,11.1969
4.634296,11.21669
4.636596,11.23516
4.638985,11.25334
4.641267,11.27294
4.643537,11.29074
4.645793,11.3111
4.64771,11.33064
4.649738,11.35014
4.651737,11.36835
4.653706,11.41052
4.655597,11.43146
4.656948,11.45107
4.657878,11.47013
4.659179,11.48913
4.660422,11.50887
4.661662,11.52735
4.662979,11.54692
4.664263,11.5651
4.665541,11.58409
4.666816,11.60236
4.668091,11.62105
4.669357,11.64212
4.670622,11.66027
4.67186,11.67987
4.673112,11.69872
4.674453,11.71753
4.67579,11.73672
4.677282,11.75517
4.678826,11.77359
4.680457,11.79319
4.682105,11.81179
4.683761,11.83055
4.685477,11.85212
4.687291,11.87016
4.689003,11.88866
4.690809,11.90776
4.692616,11.92755
4.694514,11.94698
4.69627,11.96572
4.698031,11.9846
4.699849,12.00367
4.701838,12.02146
4.703724,12.03996
4.705608,12.06167
4.70749,12.08055
4.709342,12.10006
4.711033,12.11911
4.712726,12.13776
4.714424,12.1561
4.716357,12.17559
4.718195,12.19459
4.720003,12.21352
4.721787,12.23258
4.72357,12.25053
4.725309,12.27149
4.727003,12.29102
4.728671,12.30978
4.730348,12.32857
4.732005,12.34702
4.733674,12.36503
4.735602,12.384
4.737827,12.40172
4.73972,12.41973
4.74059,12.4383
4.74059,12.45727
4.742607,12.47696
4.743697,12.49614
4.745267,12.51414
4.746988,12.53299
4.748893,12.55219
4.750845,12.57098
4.752278,12.58986
4.754149,12.60769
4.756061,12.62579
4.757795,12.64461
4.758988,12.66375
4.760727,12.68456
4.762386,12.70356
4.764174,12.72155
4.765962,12.74055
4.767748,12.75848
4.76945,12.77779
4.771146,12.7974
4.772801,12.82246
4.774451,12.84144
4.776005,12.86015
4.77746,12.87935
4.778824,12.90024
4.780203,12.91959
4.781554,12.93763
4.782893,12.95653
4.784167,12.97545
4.785438,12.99457
4.786773,13.01338
4.788105,13.03224
4.789436,13.05121
4.79088,13.07033
4.792368,13.08908
4.793953,13.10989
4.795569,13.12861
4.797184,13.14672
4.798802,13.16414
4.800487,13.18303
4.802166,13.20239
4.803769,13.22101
4.805359,13.23959
4.807168,13.25866
4.808754,13.27652
4.809843,13.29546
4.811119,13.31572
4.812297,13.33473
4.814081,13.35466
4.814764,13.3737
4.815516,13.39264
4.816419,13.41081
4.817964,13.42996
4.819317,13.44954
4.820475,13.46838
4.821476,13.48643
4.822761,13.50531
4.824013,13.52525
4.825261,13.54311
4.826417,13.56237
4.827645,13.58211
4.828918,13.60101
4.830187,13.62002
4.831471,13.6384
4.832707,13.6564
4.833995,13.67531
4.835303,13.69421
4.836607,13.71231
4.837899,13.73356
4.839188,13.75256
4.840483,13.76996
4.841517,13.78879
4.843055,13.80844
4.844465,13.8269
4.845804,13.8454
4.847138,13.86412
4.848421,13.88301
4.849699,13.90097
4.850974,13.91899
4.852098,13.94056
4.853299,13.95963
4.854579,13.97741
4.855775,13.99631
4.856484,14.01431
4.85719,14.03364
4.857905,14.0517
4.858936,14.07062
4.860016,14.08962
4.861129,14.10846
4.862241,14.12774
4.863363,14.14754
4.864494,14.16666
4.865615,14.18478
4.866812,14.20358
4.868063,14.22283
4.869358,14.24102
4.870603,14.25916
4.871846,14.27728
4.873137,14.29618
4.874444,14.31479
4.875731,14.33361
4.876986,14.35544
4.878283,14.37462
4.879646,14.39375
4.8811,14.41155
4.882649,14.43071
4.884137,14.44959
4.885686,14.46775
4.887229,14.48619
4.888731,14.50585
4.890228,14.52397
4.891703,14.54263
4.893155,14.56259
4.89455,14.58149
4.895979,14.60053
4.897365,14.61872
4.898507,14.63855
4.900097,14.65763
4.901721,14.67668
4.903635,14.69548
4.905258,14.71471
4.906513,14.73392
4.907881,14.75334
4.909248,14.77433
4.910452,14.79355
4.911575,14.81256
4.912695,14.83192
4.913969,14.85107
4.915245,14.8701
4.916512,14.88874
4.917777,14.90735
4.919028,14.92616
4.920193,14.9455
4.921316,14.96337
4.922435,14.98325
4.923509,15.00331
4.924638,15.02179
4.925765,15.04039
4.926873,15.05894
4.92804,15.07841
4.929205,15.09735
4.930348,15.11578
4.931491,15.13498
4.932631,15.15429
4.933723,15.17308
4.934808,15.19418
4.935892,15.21297
4.936934,15.23169
4.938023,15.25095
4.939356,15.27039
4.940698,15.28836
4.942075,15.307
4.943419,15.32656
4.944759,15.3456
4.946096,15.36504
4.947433,15.3844
4.948736,15.40572
4.949996,15.42391
4.951168,15.44314
4.952311,15.46278
4.953451,15.48078
4.954671,15.49987
4.955926,15.51862
4.957139,15.53748
4.958355,15.55641
4.959684,15.57548
4.960927,15.5939
4.962127,15.61546
4.963322,15.63448
4.964515,15.6541
4.965747,15.67247
4.966988,15.69139
4.968215,15.71
4.969551,15.72776
4.970898,15.74695
4.972257,15.76584
4.973614,15.7849
4.974946,15.80383
4.976276,15.82547
4.977636,15.84474
4.978909,15.86372
4.980157,15.88297
4.981306,15.90232
4.98245,15.92128
4.983585,15.93972
4.984719,15.95883
4.985851,15.9779
4.986999,15.99663
4.988145,16.01554
4.989367,16.03657
4.990553,16.05454
4.99178,16.07427
4.992942,16.09254
4.994229,16.11157
4.995532,16.13062
4.996711,16.14952
4.997877,16.16847
4.999048,16.18737
5.000195,16.20667
5.001307,16.22576
5.002415,16.24637
5.003522,16.26562
5.004673,16.28453
5.005825,16.30365
5.006981,16.32255
5.008165,16.34012
5.009409,16.35929
5.010692,16.37714
5.011973,16.39515
5.01329,16.41334
5.014677,16.43316
5.016079,16.45446
5.017477,16.47333
5.018859,16.49265
5.020236,16.51132
5.021609,16.52905
5.022913,16.54714
5.024211,16.56602
5.02558,16.58497
5.026918,16.60365
5.028255,16.62149
5.029462,16.63907
5.030162,16.6606
5.030162,16.67953
5.030162,16.69841
5.031145,16.7174
5.031754,16.73551
5.032518,16.75444
5.033376,16.77411
5.034489,16.79169
5.035391,16.8097
5.036188,16.82879
5.03709,16.8471
5.03799,16.86845
5.039089,16.8866
5.039797,16.90623
5.039813,16.92422
5.040213,16.94294
5.041103,16.96186
5.04177,16.97972
5.042416,16.99877
5.04297,17.01758
5.043505,17.03654
5.043977,17.05445
5.044421,17.07593
5.044865,17.0953
5.0453,17.11436
5.04578,17.13394
5.046466,17.15319
5.047274,17.17117
5.048082,17.19007
5.048926,17.20902
5.049783,17.22805
5.050661,17.2477
5.051537,17.26551
5.052419,17.28598
5.053301,17.30486
5.054187,17.32405
5.055065,17.34184
5.055952,17.36112
5.056827,17.3804
5.057724,17.39949
5.058597,17.41835
5.05942,17.43863
5.060238,17.45731
5.061057,17.47585
5.06187,17.49652
5.06266,17.51517
5.06345,17.53469
5.064233,17.55433
5.064993,17.57365
5.065763,17.59271
5.066523,17.60973
5.06729,17.62873
5.068042,17.6484
5.068719,17.66745
5.069396,17.6864
5.070047,17.70698
5.070617,17.72515
5.071138,17.74422
5.071642,17.76216
5.072122,17.78092
5.072602,17.79898
5.073059,17.81786
5.073512,17.83673
5.073921,17.85608
5.074327,17.87609
5.074739,17.89558
5.075272,17.91653
5.07587,17.93646
5.076504,17.95558
5.077137,17.97429
5.077797,17.9934
5.078458,18.01297
5.079112,18.03098
5.079742,18.04971
5.08036,18.06871
5.080967,18.08663
5.08158,18.10448
5.082193,18.12453
5.082806,18.14367
5.083394,18.16143
5.08398,18.17929
5.084566,18.19893
5.085176,18.21766
5.085742,18.23656
5.086303,18.25551
5.086864,18.27466
5.087453,18.29368
5.088058,18.31142
5.088662,18.3324
5.089248,18.35169
5.089889,18.37036
5.090561,18.38928
5.091233,18.40793
5.091904,18.42596
5.092545,18.44518
5.093217,18.46295
5.093888,18.48203
5.094557,18.50119
5.095185,18.51998
5.095813,18.54057
5.096484,18.5595
5.097111,18.57833
5.097754,18.59701
5.098396,18.6158
5.099064,18.63395
5.099776,18.6526
5.100491,18.6714
5.101204,18.68926
5.101916,18.70907
5.102658,18.72803
5.103403,18.74844
5.104169,18.76713
5.105068,18.78495
5.105928,18.80296
5.106827,18.822
5.107734,18.84092
5.10863,18.85985
5.109491,18.87883
5.110341,18.89774
5.111185,18.9166
5.112031,18.93574
5.112868,18.95653
5.113703,18.97545
5.114549,18.99346
5.115368,19.01134
5.116186,19.03046
5.116997,19.04947
5.117801,19.06835
5.118618,19.08617
5.119419,19.10483
5.120195,19.12399
5.120965,19.14337
5.121689,19.16469
5.122411,19.18422
5.123187,19.20186
5.123936,19.21947
5.124478,19.23833
5.124894,19.2585
5.125778,19.27739
5.126369,19.29803
5.126966,19.31683
5.127861,19.33556
5.128192,19.35346
5.128818,19.37428
5.12936,19.39336
5.1298,19.41281
5.130383,19.43202
5.131039,19.4507
5.131773,19.4696
5.132507,19.48851
5.133241,19.50743
5.13412,19.5268
5.135071,19.54569
5.136033,19.56352
5.136981,19.58449
5.137879,19.60344
5.138758,19.62168
5.139557,19.64067
5.140262,19.66044
5.140942,19.6782
5.141631,19.69696
5.142319,19.71559
5.143114,19.73468
5.144138,19.75383
5.145208,19.77155
5.146277,19.79129
5.147377,19.81046
5.14848,19.82951
5.149575,19.84887
